"dimensionality",7,0
"cycle_starting_addr",8191,0
"extent_6",1,0
"cycle_stride_6",0,0
"extent_5",3,0
"cycle_stride_5",112896,0
"extent_4",3,0
"cycle_stride_4",12544,0
"extent_3",4,0
"cycle_stride_3",3136,0
"extent_2",28,0
"cycle_stride_2",112,0
"extent_1",28,0
"cycle_stride_1",4,0
"extent_0",2,0
"cycle_stride_0",2,0
"write","hw_input_stencil_op_hcompute_hw_input_stencil_4_to_hw_input_stencil_op_hcompute_conv_stencil_1_11_ubuf_0_tb"
"write_data_starting_addr",0,0
"write_data_stride_6",0,0
"write_data_stride_5",168,0
"write_data_stride_4",2,0
"write_data_stride_3",504,0
"write_data_stride_2",6,0
"write_data_stride_1",0,0
"write_data_stride_0",1,0
"read","hw_input_stencil_op_hcompute_hw_input_stencil_4_to_hw_input_stencil_op_hcompute_conv_stencil_1_11_ubuf_sram"
"read_data_starting_addr",0,0
"read_data_stride_6",0,0
"read_data_stride_5",60,0
"read_data_stride_4",2,0
"read_data_stride_3",0,0
"read_data_stride_2",60,0
"read_data_stride_1",2,0
"read_data_stride_0",1,0
