"dimensionality",4,0
"cycle_starting_addr",29,0
"extent_3",1,0
"cycle_stride_3",0,0
"extent_2",6,0
"cycle_stride_2",16,0
"extent_1",4,0
"cycle_stride_1",4,0
"extent_0",2,0
"cycle_stride_0",2,0
"read","buf_input_10_to_buf_output_3_ubuf_sram"
"read_data_starting_addr",0,0
"read_data_stride_3",0,0
"read_data_stride_2",4,0
"read_data_stride_1",1,0
"read_data_stride_0",4,0
"mux_write","buf_input_10_to_buf_output_3_ubuf_0_tb"
"mux_write_data_starting_addr",0,0
"mux_write_data_stride_3",0,0
"mux_write_data_stride_2",0,0
"mux_write_data_stride_1",0,0
"mux_write_data_stride_0",1,0
"write","buf_input_10_to_buf_output_3_ubuf_0_tb"
"write_data_starting_addr",2,0
"write_data_stride_3",0,0
"write_data_stride_2",32,0
"write_data_stride_1",4,0
"write_data_stride_0",16,0
"mux_write","buf_input_10_to_buf_output_3_ubuf_0_tb"
"mux_write_data_starting_addr",0,0
"mux_write_data_stride_3",0,0
"mux_write_data_stride_2",0,0
"mux_write_data_stride_1",0,0
"mux_write_data_stride_0",1,0
"write","buf_input_10_to_buf_output_3_ubuf_0_tb"
"write_data_starting_addr",1,0
"write_data_stride_3",0,0
"write_data_stride_2",32,0
"write_data_stride_1",4,0
"write_data_stride_0",16,0
"mux_write","buf_input_10_to_buf_output_3_ubuf_0_tb"
"mux_write_data_starting_addr",0,0
"mux_write_data_stride_3",0,0
"mux_write_data_stride_2",0,0
"mux_write_data_stride_1",0,0
"mux_write_data_stride_0",1,0
"write","buf_input_10_to_buf_output_3_ubuf_0_tb"
"write_data_starting_addr",0,0
"write_data_stride_3",0,0
"write_data_stride_2",32,0
"write_data_stride_1",4,0
"write_data_stride_0",16,0
"mux_write","buf_input_10_to_buf_output_3_ubuf_0_tb"
"mux_write_data_starting_addr",0,0
"mux_write_data_stride_3",0,0
"mux_write_data_stride_2",0,0
"mux_write_data_stride_1",0,0
"mux_write_data_stride_0",1,0
"write","buf_input_10_to_buf_output_3_ubuf_0_tb"
"write_data_starting_addr",3,0
"write_data_stride_3",0,0
"write_data_stride_2",32,0
"write_data_stride_1",4,0
"write_data_stride_0",16,0
